Team,Total Offense DVOA,Weighted Offense DVOA,Offense Pass DVOA,Offense Rush DVOA,Offense Variance,Offense Schedule,Total Defense DVOA,Weighted Defense DVOA,Defense Pass DVOA,Defense Rush DVOA,Defense Variance,Defense Schedule,Playoffs,Year
SD,0.227,0.207,0.431,0.038,0.041,-0.007,0.088,0.071,0.211,-0.047,0.04,-0.009,1,1981
CIN,0.214,0.244,0.362,0.098,0.112,0.025,0.038,0.016,0.092,-0.021,0.041,-0.023,1,1981
TB,0.122,0.153,0.364,-0.041,0.039,-0.018,-0.102,-0.091,-0.173,-0.037,0.044,-0.034,1,1981
SF,0.087,0.096,0.242,-0.024,0.025,-0.005,-0.071,-0.097,-0.085,-0.057,0.085,-0.049,1,1981
BUF,0.07,0.019,0.259,-0.049,0.076,0.046,-0.067,-0.035,-0.049,-0.084,0.086,0.049,1,1981
PHI,0.061,0.044,0.102,0.075,0.022,0.024,-0.181,-0.186,-0.24,-0.124,0.049,0.007,1,1981
MIA,0.049,0.03,0.051,0.068,0.052,0.022,0.065,0.067,0.161,-0.026,0.092,0.007,1,1981
DAL,0.034,0.031,0.163,0.027,0.084,-0.008,-0.104,-0.112,-0.144,-0.066,0.034,-0.004,1,1981
NYJ,0.027,0.002,0.184,-0.082,0.057,0.053,-0.09,-0.161,-0.114,-0.064,0.139,-0.004,1,1981
NYG,-0.142,-0.155,-0.146,-0.091,0.051,-0.025,-0.124,-0.15,-0.099,-0.146,0.064,0.002,1,1981
SD,0.403,0.417,0.599,0.224,0.046,0.021,0.176,0.188,0.273,0.039,0.029,-0.029,1,1982
NYJ,0.209,0.204,0.327,0.13,0.031,-0.069,-0.159,-0.149,-0.118,-0.206,0.166,-0.039,1,1982
CIN,0.197,0.195,0.361,0.009,0.018,0.078,0.055,0.055,0.123,-0.028,0.087,-0.047,1,1982
ATL,0.06,0.072,0.053,0.128,0.056,0.007,0.132,0.123,0.203,0.052,0.187,-0.026,1,1982
WAS,0.059,0.036,0.212,-0.052,0.074,-0.017,-0.01,-0.035,0.051,-0.078,0.068,-0.014,1,1982
MIA,0.045,0.039,0.057,0.083,0.031,-0.027,-0.209,-0.217,-0.645,0.109,0.041,0.03,1,1982
MIN,0.034,0.028,0.134,-0.042,0.042,-0.095,-0.084,-0.084,-0.065,-0.106,0.052,-0.026,1,1982
STLC,0.021,0.03,0.061,0.036,0.101,-0.016,0.154,0.162,0.285,0.018,0.012,0.007,1,1982
PIT,0.018,-0.009,0.017,0.068,0.303,0.033,-0.057,-0.075,-0.035,-0.088,0.032,-0.033,1,1982
NE,0.017,0.03,0.139,-0.025,0.152,-0.015,0.096,0.101,0.159,0.046,0.069,-0.04,1,1982
DAL,0.012,-0.01,0.123,-0.023,0.069,0.024,-0.111,-0.141,-0.146,-0.075,0.084,-0.031,1,1982
TB,0.001,0.004,0.141,-0.127,0.014,-0.117,-0.008,0,-0.016,-0.001,0.011,-0.007,1,1982
LARD,-0.02,-0.015,0.054,-0.06,0.036,0.097,-0.113,-0.108,-0.107,-0.122,0.018,0.095,1,1982
CLE1,-0.056,-0.09,-0.035,-0.074,0.09,0.034,0.09,0.086,0.031,0.142,0.068,0.026,1,1982
GB,-0.057,-0.069,-0.012,-0.045,0.113,-0.041,-0.112,-0.101,-0.018,-0.212,0.017,-0.025,1,1982
DET,-0.254,-0.255,-0.352,-0.102,0.042,-0.055,-0.212,-0.214,-0.181,-0.245,0.083,0.004,1,1982
WAS,0.247,0.23,0.502,0.095,0.038,-0.001,-0.095,-0.117,-0.015,-0.215,0.107,0.005,1,1983
SF,0.192,0.185,0.429,-0.009,0.069,-0.009,-0.036,-0.043,0.025,-0.105,0.055,0.011,1,1983
DAL,0.123,0.127,0.259,0.025,0.1,-0.039,-0.053,-0.04,-0.015,-0.104,0.026,-0.005,1,1983
MIA,0.114,0.154,0.298,-0.004,0.065,0.016,-0.027,-0.029,-0.044,-0.011,0.096,0.012,1,1983
LARM,0.08,0.031,0.16,0.07,0.089,-0.004,-0.026,-0.043,0.031,-0.085,0.043,0.039,1,1983
LARD,0.07,0.091,0.153,0.026,0.032,0.002,-0.134,-0.103,-0.106,-0.167,0.058,0.002,1,1983
SEA,0.039,0.063,0.161,-0.028,0.056,-0.037,0.053,0.089,0.112,-0.009,0.057,-0.005,1,1983
DET,-0.082,-0.05,-0.136,0.009,0.112,0.01,-0.052,-0.098,-0.051,-0.053,0.102,-0.024,1,1983
PIT,-0.119,-0.135,-0.083,-0.11,0.115,0.048,-0.128,-0.1,-0.094,-0.158,0.113,-0.04,1,1983
DEN,-0.172,-0.128,-0.109,-0.172,0.093,0.025,-0.065,-0.019,0.004,-0.134,0.059,0,1,1983
MIA,0.344,0.31,0.633,0.055,0.068,0.027,0.078,0.122,0.016,0.144,0.058,-0.032,1,1984
SF,0.238,0.207,0.445,0.093,0.041,0.032,-0.044,-0.057,-0.02,-0.074,0.054,-0.042,1,1984
WAS,0.114,0.085,0.263,0,0.043,0.014,-0.044,-0.066,0.016,-0.129,0.044,0.009,1,1984
DEN,0.041,0.066,0.132,0.013,0.108,-0.022,-0.107,-0.083,-0.057,-0.175,0.048,-0.021,1,1984
LARM,0.026,0.099,-0.048,0.128,0.119,-0.016,0.015,0.008,0.101,-0.088,0.046,0.009,1,1984
NYG,0.011,-0.021,0.17,-0.145,0.075,-0.008,-0.035,-0.077,0.038,-0.112,0.059,0.027,1,1984
CHI,-0.015,-0.049,0.025,0.01,0.064,0.033,-0.263,-0.238,-0.301,-0.218,0.173,-0.025,1,1984
LARD,-0.033,-0.068,-0.012,-0.03,0.095,-0.019,-0.142,-0.167,-0.199,-0.085,0.028,-0.004,1,1984
